@relation training
@attribute 'Team 1: Goalkeeper: Attacking' numeric
@attribute 'Team 1: Goalkeeper: Skill' numeric
@attribute 'Team 1: Goalkeeper: Movement' numeric
@attribute 'Team 1: Goalkeeper: Power' numeric
@attribute 'Team 1: Goalkeeper: Mentality' numeric
@attribute 'Team 1: Goalkeeper: Defending' numeric
@attribute 'Team 1: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 1: Defender: Attacking' numeric
@attribute 'Team 1: Defender: Skill' numeric
@attribute 'Team 1: Defender: Movement' numeric
@attribute 'Team 1: Defender: Power' numeric
@attribute 'Team 1: Defender: Mentality' numeric
@attribute 'Team 1: Defender: Defending' numeric
@attribute 'Team 1: Defender: Goalkeeping' numeric
@attribute 'Team 1: Midfielder: Attacking' numeric
@attribute 'Team 1: Midfielder: Skill' numeric
@attribute 'Team 1: Midfielder: Movement' numeric
@attribute 'Team 1: Midfielder: Power' numeric
@attribute 'Team 1: Midfielder: Mentality' numeric
@attribute 'Team 1: Midfielder: Defending' numeric
@attribute 'Team 1: Midfielder: Goalkeeping' numeric
@attribute 'Team 1: Forward: Attacking' numeric
@attribute 'Team 1: Forward: Skill' numeric
@attribute 'Team 1: Forward: Movement' numeric
@attribute 'Team 1: Forward: Power' numeric
@attribute 'Team 1: Forward: Mentality' numeric
@attribute 'Team 1: Forward: Defending' numeric
@attribute 'Team 1: Forward: Goalkeeping' numeric
@attribute 'Team 1: Number of Goalkeepers numeric
@attribute 'Team 1: Number of Defenders numeric
@attribute 'Team 1: Number of Midfielders numeric
@attribute 'Team 1: Number of Strikers numeric
@attribute 'Team 2: Goalkeeper: Attacking' numeric
@attribute 'Team 2: Goalkeeper: Skill' numeric
@attribute 'Team 2: Goalkeeper: Movement' numeric
@attribute 'Team 2: Goalkeeper: Power' numeric
@attribute 'Team 2: Goalkeeper: Mentality' numeric
@attribute 'Team 2: Goalkeeper: Defending' numeric
@attribute 'Team 2: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 2: Defender: Attacking' numeric
@attribute 'Team 2: Defender: Skill' numeric
@attribute 'Team 2: Defender: Movement' numeric
@attribute 'Team 2: Defender: Power' numeric
@attribute 'Team 2: Defender: Mentality' numeric
@attribute 'Team 2: Defender: Defending' numeric
@attribute 'Team 2: Defender: Goalkeeping' numeric
@attribute 'Team 2: Midfielder: Attacking' numeric
@attribute 'Team 2: Midfielder: Skill' numeric
@attribute 'Team 2: Midfielder: Movement' numeric
@attribute 'Team 2: Midfielder: Power' numeric
@attribute 'Team 2: Midfielder: Mentality' numeric
@attribute 'Team 2: Midfielder: Defending' numeric
@attribute 'Team 2: Midfielder: Goalkeeping' numeric
@attribute 'Team 2: Forward: Attacking' numeric
@attribute 'Team 2: Forward: Skill' numeric
@attribute 'Team 2: Forward: Movement' numeric
@attribute 'Team 2: Forward: Power' numeric
@attribute 'Team 2: Forward: Mentality' numeric
@attribute 'Team 2: Forward: Defending' numeric
@attribute 'Team 2: Forward: Goalkeeping' numeric
@attribute 'Team 2: Number of Goalkeepers numeric
@attribute 'Team 2: Number of Defenders numeric
@attribute 'Team 2: Number of Midfielders numeric
@attribute 'Team 2: Number of Strikers numeric
@attribute 'Outcome' {0, 1, 2}
@data
27.4, 26.8, 52.0, 44.6, 25.4, 25.0, 74.8, 27.4, 33.5, 38.0, 30.5, 31.4, 38.1666666667, 4.4, 10.7333333333, 12.0333333333, 11.7333333333, 12.2666666667, 12.2, 13.3333333333, 1.66666666667, 41.3, 41.8, 39.1, 42.7, 37.7, 20.0, 4.9, 1.0, 2.0, 6.0, 2.0, 27.6, 28.6, 63.4, 46.4, 27.8, 25.0, 78.6, 34.4, 34.7, 34.7, 39.4, 37.2, 40.1666666667, 4.4, 12.0333333333, 14.0666666667, 13.3333333333, 11.5, 10.5333333333, 6.33333333333, 1.43333333333, 36.3, 38.2, 36.9, 39.1, 32.8, 21.0, 5.3, 1.0, 2.0, 6.0, 2.0, 2
24.8, 26.8, 47.6, 47.6, 30.2, 25.0, 73.6, 13.65, 16.5, 18.3, 16.0, 15.15, 17.0833333333, 2.55, 12.48, 11.92, 15.92, 12.92, 9.8, 4.8, 1.84, 60.4, 55.4, 79.8, 67.8, 59.2, 25.0, 8.8, 1.0, 4.0, 5.0, 1.0, 25.0, 27.0, 53.8, 45.6, 31.0, 25.0, 75.6, 16.35, 15.8, 19.2, 17.15, 16.65, 17.75, 2.65, 14.68, 14.24, 15.36, 13.96, 12.52, 4.46666666666, 1.6, 73.0, 64.4, 76.0, 74.4, 58.0, 34.3333333333, 8.0, 1.0, 4.0, 5.0, 1.0, 0
26.4, 25.8, 55.6, 44.4, 28.8, 25.0, 78.6, 11.5, 11.3, 15.9, 13.6, 11.5, 15.0833333333, 2.0, 15.2, 15.76, 16.48, 14.52, 12.2, 9.86666666666, 2.4, 73.2, 67.8, 70.2, 78.6, 65.0, 25.0, 10.8, 1.0, 4.0, 5.0, 1.0, 24.4, 24.8, 56.8, 45.8, 30.8, 25.0, 72.0, 16.4, 17.65, 19.6, 20.25, 16.25, 18.5833333333, 3.3, 12.04, 11.44, 14.04, 15.48, 12.04, 5.13333333334, 2.36, 65.6, 61.8, 60.8, 76.4, 66.8, 78.0, 11.0, 1.0, 4.0, 5.0, 1.0, 1
24.0, 24.6, 52.8, 41.8, 26.4, 25.0, 75.6, 18.1333333333, 15.8666666667, 15.9333333333, 23.1333333333, 18.4, 25.2222222222, 3.6, 11.64, 13.28, 15.64, 12.8, 10.12, 4.6, 1.96, 36.9, 31.4, 40.9, 38.3, 32.4, 17.8333333334, 3.7, 1.0, 3.0, 5.0, 2.0, 27.4, 26.8, 42.6, 41.4, 31.0, 25.0, 73.8, 17.2666666667, 16.0, 20.7333333333, 24.8, 20.8666666667, 25.4444444444, 2.66666666667, 13.56, 15.56, 15.6, 13.56, 12.88, 6.86666666666, 1.92, 35.6, 32.4, 41.2, 38.8, 30.7, 12.1666666667, 4.7, 1.0, 3.0, 5.0, 2.0, 2
24.8, 24.0, 50.8, 47.2, 27.2, 25.0, 75.2, 16.0666666667, 15.5333333333, 22.2, 22.6, 18.0666666667, 24.6666666667, 2.6, 11.1333333333, 11.1666666667, 12.5, 13.2, 11.6, 12.0, 3.8, 63.0, 58.4, 75.0, 69.4, 52.0, 24.6666666667, 11.0, 1.0, 3.0, 6.0, 1.0, 26.4, 26.8, 52.0, 43.2, 29.0, 25.0, 73.0, 20.2, 24.5333333333, 24.8666666667, 23.8, 21.8666666667, 24.2222222222, 3.4, 9.76666666667, 10.7, 13.4333333333, 10.4666666667, 9.4, 5.16666666667, 1.86666666667, 66.2, 54.6, 64.6, 71.0, 66.0, 24.3333333333, 11.4, 1.0, 3.0, 6.0, 1.0, 0
26.4, 25.8, 57.0, 47.4, 25.0, 25.0, 82.8, 16.25, 17.2, 19.75, 17.95, 17.75, 20.8333333333, 2.15, 19.15, 21.3, 22.4, 17.85, 17.55, 6.16666666667, 2.25, 38.1, 32.9, 37.4, 38.8, 36.9, 16.8333333334, 5.5, 1.0, 4.0, 4.0, 2.0, 25.0, 25.4, 52.6, 41.6, 31.6, 25.0, 76.4, 10.1, 10.75, 13.75, 13.95, 13.65, 19.0, 2.9, 18.55, 17.9, 20.1, 19.8, 17.75, 15.6666666667, 2.25, 36.7, 30.8, 31.7, 38.1, 31.6, 17.1666666666, 5.1, 1.0, 4.0, 4.0, 2.0, 1
27.0, 28.0, 56.4, 36.2, 28.2, 25.0, 81.4, 15.45, 16.95, 18.7, 17.75, 16.5, 19.4166666667, 1.2, 12.32, 14.28, 16.96, 14.32, 12.64, 8.4, 1.76, 76.8, 67.0, 61.6, 80.4, 71.4, 27.6666666667, 9.8, 1.0, 4.0, 5.0, 1.0, 70.2, 67.2, 76.0, 71.0, 61.8, 23.3333333333, 11.0, 11.7, 12.65, 16.15, 18.2, 12.25, 20.5, 0.8, 13.0, 11.64, 13.88, 13.32, 11.84, 4.6, 2.2, 70.4, 77.4, 80.8, 71.6, 64.8, 33.0, 10.4, 1.0, 4.0, 5.0, 1.0, 0
27.0, 24.6, 53.0, 43.6, 30.0, 25.0, 77.2, 16.5, 16.65, 18.4, 18.75, 18.1, 18.6666666667, 2.25, 11.72, 11.64, 14.88, 13.04, 11.56, 5.86666666666, 2.04, 74.0, 67.6, 76.0, 74.6, 61.8, 25.0, 10.0, 1.0, 4.0, 5.0, 1.0, 27.6, 28.2, 42.8, 42.4, 27.4, 25.0, 77.6, 12.4, 14.7, 17.55, 12.55, 12.85, 15.6666666667, 2.65, 14.12, 11.8, 11.6, 15.48, 12.04, 5.93333333334, 2.32, 73.0, 79.6, 77.8, 69.6, 65.2, 32.3333333333, 11.2, 1.0, 4.0, 5.0, 1.0, 1
27.0, 26.8, 55.4, 43.0, 29.6, 25.0, 71.6, 15.4, 16.35, 17.95, 17.2, 17.75, 18.75, 2.4, 17.4, 15.85, 17.75, 19.55, 17.55, 13.1666666667, 2.0, 36.5, 22.9, 38.6, 37.6, 33.1, 14.8333333334, 5.8, 1.0, 4.0, 4.0, 2.0, 27.6, 26.2, 51.6, 48.2, 28.6, 25.0, 77.8, 13.4, 11.4, 15.9, 15.8, 13.85, 20.0833333333, 2.2, 13.7, 14.0, 19.25, 15.8, 12.25, 12.25, 2.8, 36.9, 33.0, 34.5, 41.0, 34.0, 13.3333333334, 4.4, 1.0, 4.0, 4.0, 2.0, 0
27.6, 28.0, 50.2, 43.0, 31.8, 25.0, 71.6, 14.9333333333, 12.4, 19.9333333333, 20.1333333333, 17.7333333333, 23.0, 1.93333333333, 13.36, 13.8, 15.48, 14.12, 13.28, 11.4666666667, 2.52, 31.5, 32.1, 37.2, 32.7, 28.9, 12.0, 5.2, 1.0, 3.0, 5.0, 2.0, 26.4, 26.0, 51.4, 42.2, 29.4, 25.0, 81.0, 23.3333333333, 26.2, 22.6666666667, 26.6666666667, 25.3333333333, 26.0, 3.73333333333, 11.72, 14.68, 14.52, 14.48, 13.56, 13.9333333333, 1.72, 35.6, 31.9, 36.6, 42.7, 33.5, 15.8333333334, 4.1, 1.0, 3.0, 5.0, 2.0, 0
