@relation training
@attribute 'Team 1: Goalkeeper: Attacking' numeric
@attribute 'Team 1: Goalkeeper: Skill' numeric
@attribute 'Team 1: Goalkeeper: Movement' numeric
@attribute 'Team 1: Goalkeeper: Power' numeric
@attribute 'Team 1: Goalkeeper: Mentality' numeric
@attribute 'Team 1: Goalkeeper: Defending' numeric
@attribute 'Team 1: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 1: Defender: Attacking' numeric
@attribute 'Team 1: Defender: Skill' numeric
@attribute 'Team 1: Defender: Movement' numeric
@attribute 'Team 1: Defender: Power' numeric
@attribute 'Team 1: Defender: Mentality' numeric
@attribute 'Team 1: Defender: Defending' numeric
@attribute 'Team 1: Defender: Goalkeeping' numeric
@attribute 'Team 1: Midfielder: Attacking' numeric
@attribute 'Team 1: Midfielder: Skill' numeric
@attribute 'Team 1: Midfielder: Movement' numeric
@attribute 'Team 1: Midfielder: Power' numeric
@attribute 'Team 1: Midfielder: Mentality' numeric
@attribute 'Team 1: Midfielder: Defending' numeric
@attribute 'Team 1: Midfielder: Goalkeeping' numeric
@attribute 'Team 1: Forward: Attacking' numeric
@attribute 'Team 1: Forward: Skill' numeric
@attribute 'Team 1: Forward: Movement' numeric
@attribute 'Team 1: Forward: Power' numeric
@attribute 'Team 1: Forward: Mentality' numeric
@attribute 'Team 1: Forward: Defending' numeric
@attribute 'Team 1: Forward: Goalkeeping' numeric
@attribute 'Team 1: Number of Goalkeepers' numeric
@attribute 'Team 1: Number of Defenders' numeric
@attribute 'Team 1: Number of Midfielders' numeric
@attribute 'Team 1: Number of Strikers' numeric
@attribute 'Team 2: Goalkeeper: Attacking' numeric
@attribute 'Team 2: Goalkeeper: Skill' numeric
@attribute 'Team 2: Goalkeeper: Movement' numeric
@attribute 'Team 2: Goalkeeper: Power' numeric
@attribute 'Team 2: Goalkeeper: Mentality' numeric
@attribute 'Team 2: Goalkeeper: Defending' numeric
@attribute 'Team 2: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 2: Defender: Attacking' numeric
@attribute 'Team 2: Defender: Skill' numeric
@attribute 'Team 2: Defender: Movement' numeric
@attribute 'Team 2: Defender: Power' numeric
@attribute 'Team 2: Defender: Mentality' numeric
@attribute 'Team 2: Defender: Defending' numeric
@attribute 'Team 2: Defender: Goalkeeping' numeric
@attribute 'Team 2: Midfielder: Attacking' numeric
@attribute 'Team 2: Midfielder: Skill' numeric
@attribute 'Team 2: Midfielder: Movement' numeric
@attribute 'Team 2: Midfielder: Power' numeric
@attribute 'Team 2: Midfielder: Mentality' numeric
@attribute 'Team 2: Midfielder: Defending' numeric
@attribute 'Team 2: Midfielder: Goalkeeping' numeric
@attribute 'Team 2: Forward: Attacking' numeric
@attribute 'Team 2: Forward: Skill' numeric
@attribute 'Team 2: Forward: Movement' numeric
@attribute 'Team 2: Forward: Power' numeric
@attribute 'Team 2: Forward: Mentality' numeric
@attribute 'Team 2: Forward: Defending' numeric
@attribute 'Team 2: Forward: Goalkeeping' numeric
@attribute 'Team 2: Number of Goalkeepers' numeric
@attribute 'Team 2: Number of Defenders' numeric
@attribute 'Team 2: Number of Midfielders' numeric
@attribute 'Team 2: Number of Strikers' numeric
@attribute 'Outcome' {0, 1, 2}
@data
23.8, 32.4, 58.2, 49.2, 43.0, 10.3333333333, 90.8, 9.35, 7.9, 14.3333333333, 11.75, 13.8, 13.5, 4.2, 26.4, 25.6666666667, 26.4, 28.0666666667, 28.3333333333, 27.6666666667, 1.06666666667, 40.9, 36.5, 39.6, 39.6, 36.25, 19.3333333334, 5.2, 1.0, 5.0, 3.0, 2.0, 13.0, 15.0, 46.6, 45.2, 30.1666666667, 11.6666666667, 73.2, 10.32, 11.16, 12.44, 14.6, 12.2, 15.8, 1.72, 21.6, 22.8, 27.0666666667, 23.4, 21.2222222222, 11.5555555556, 3.4, 33.5, 32.1, 35.5, 33.7, 30.75, 10.6666666667, 6.0, 1.0, 5.0, 3.0, 2.0, 2
11.4, 15.0, 46.2, 35.4, 28.1666666667, 11.3333333333, 77.2, 15.3, 15.2, 17.55, 17.55, 15.75, 19.3333333333, 2.25, 13.95, 17.6, 17.4, 18.2, 17.0, 16.25, 2.15, 32.3, 32.7, 34.8, 34.5, 24.6666666666, 10.3333333334, 4.8, 1.0, 4.0, 4.0, 2.0, 15.0, 18.8, 48.8, 43.2, 32.3333333333, 11.3333333333, 78.4, 16.45, 16.3, 16.05, 18.15, 17.375, 21.1666666667, 3.0, 18.05, 16.65, 17.3, 18.15, 16.9166666667, 6.25, 2.3, 39.0, 32.5, 34.1, 38.4, 32.0, 12.6666666667, 4.5, 1.0, 4.0, 4.0, 2.0, 2
22.4, 17.4, 46.8, 46.8, 22.5, 14.6666666667, 78.6, 11.65, 10.7, 14.85, 15.2, 13.25, 17.75, 2.9, 17.45, 16.45, 18.95, 19.65, 15.9583333333, 5.25, 2.85, 32.9, 32.1, 35.2, 36.7, 34.0833333333, 15.6666666667, 6.3, 1.0, 4.0, 4.0, 2.0, 18.4, 21.4, 52.2, 42.6, 28.6666666667, 16.0, 76.0, 17.3, 18.35, 19.85, 18.35, 17.2083333333, 5.75, 2.75, 17.6, 18.8, 19.5, 17.95, 17.4583333333, 14.4166666667, 2.95, 35.6, 22.1, 27.4, 35.7, 32.8333333333, 17.1666666666, 5.2, 1.0, 4.0, 4.0, 2.0, 0
18.8, 18.8, 51.2, 38.8, 26.1666666667, 12.3333333333, 79.2, 14.4, 17.45, 18.9, 16.0, 15.4166666667, 18.4166666667, 2.5, 13.56, 14.24, 13.12, 13.76, 11.8666666667, 7.53333333334, 1.88, 69.4, 67.2, 79.8, 73.4, 56.8333333333, 16.0, 12.6, 1.0, 4.0, 5.0, 1.0, 17.0, 23.4, 52.8, 42.8, 25.6666666667, 12.6666666667, 74.8, 13.45, 12.95, 17.1, 17.1, 15.1666666667, 19.0833333333, 3.45, 13.64, 14.2, 15.68, 14.92, 14.2, 7.33333333334, 2.0, 70.0, 59.6, 73.0, 75.4, 64.6666666667, 20.3333333333, 15.0, 1.0, 4.0, 5.0, 1.0, 1
19.0, 20.2, 51.4, 40.2, 29.0, 12.0, 81.6, 12.35, 11.8, 13.6, 14.35, 13.8333333333, 19.5833333333, 2.65, 16.2, 17.65, 14.35, 18.5, 18.2083333333, 17.8333333333, 3.3, 37.4, 32.3, 35.4, 38.2, 32.9166666667, 12.5, 4.6, 1.0, 4.0, 4.0, 2.0, 18.2, 19.6, 42.0, 45.2, 35.1666666667, 22.0, 68.0, 13.15, 15.25, 18.5, 16.5, 13.7916666667, 18.5, 2.9, 14.3, 16.2, 18.8, 15.65, 15.5833333333, 15.4166666667, 2.2, 34.7, 27.8, 33.3, 37.1, 31.75, 12.6666666667, 3.7, 1.0, 4.0, 4.0, 2.0, 2
18.0, 17.6, 56.6, 44.0, 31.8333333333, 14.3333333333, 79.2, 14.05, 16.3, 18.55, 16.75, 14.6666666667, 16.25, 2.8, 18.85, 18.45, 21.05, 18.8, 17.5833333333, 7.91666666667, 2.55, 40.4, 37.8, 42.3, 38.9, 35.0, 14.8333333334, 4.8, 1.0, 4.0, 4.0, 2.0, 16.8, 19.0, 58.6, 40.6, 25.3333333333, 13.3333333333, 75.4, 16.35, 17.75, 19.9, 17.15, 16.2916666667, 17.8333333333, 2.8, 15.5, 16.75, 18.05, 16.7, 14.5416666667, 5.75, 2.9, 26.4, 28.9, 32.7, 31.5, 30.4166666666, 32.3333333333, 5.1, 1.0, 4.0, 4.0, 2.0, 2
16.8, 19.2, 59.0, 43.4, 35.5, 14.0, 83.0, 10.32, 11.36, 12.72, 15.16, 12.0666666667, 15.0666666667, 2.2, 31.8, 37.3, 44.4, 33.6, 29.9166666666, 17.6666666666, 3.8, 24.9333333333, 22.2666666667, 24.8, 27.6, 22.3888888889, 16.6666666667, 4.46666666667, 1.0, 5.0, 2.0, 3.0, 15.6, 17.6, 55.0, 44.2, 32.5, 13.6666666667, 84.0, 14.28, 16.8, 15.16, 13.88, 13.4333333333, 7.93333333334, 2.0, 35.0, 38.2, 38.3, 36.1, 35.6666666667, 30.3333333334, 5.5, 25.5333333333, 25.4666666667, 26.2666666667, 27.4666666667, 23.9444444444, 11.1111111111, 2.86666666667, 1.0, 5.0, 2.0, 3.0, 2
19.8, 18.4, 47.0, 39.8, 28.1666666667, 12.3333333333, 76.6, 13.08, 13.64, 16.08, 13.08, 13.9666666667, 14.3333333333, 2.4, 15.2, 16.85, 20.0, 14.4, 13.875, 9.0, 2.8, 74.8, 64.6, 64.2, 72.0, 66.8333333333, 22.3333333333, 14.2, 1.0, 5.0, 4.0, 1.0, 14.0, 17.8, 45.2, 39.4, 22.1666666667, 12.3333333333, 68.0, 10.8, 12.04, 13.04, 13.64, 12.6333333333, 13.8666666667, 2.04, 15.8, 17.05, 19.65, 16.25, 15.25, 6.25, 2.45, 67.6, 58.2, 70.2, 74.2, 62.8333333333, 30.0, 12.0, 1.0, 5.0, 4.0, 1.0, 2
16.4, 16.8, 52.8, 39.8, 29.6666666667, 14.0, 75.0, 15.4, 13.5333333333, 17.2666666667, 21.6666666667, 17.6666666667, 27.7777777778, 3.86666666667, 14.5, 14.4, 18.15, 14.55, 13.5833333333, 11.25, 2.45, 23.6666666667, 23.2, 25.2, 24.1333333333, 21.3333333333, 7.33333333333, 3.86666666667, 1.0, 3.0, 4.0, 3.0, 16.2, 17.6, 50.0, 38.8, 27.5, 19.3333333333, 71.0, 21.3333333333, 22.5333333333, 23.2, 24.2666666667, 21.1111111111, 23.4444444444, 4.26666666667, 17.5, 15.7, 20.65, 16.75, 13.8333333333, 4.66666666667, 2.5, 22.5333333333, 20.4666666667, 25.3333333333, 23.6666666667, 20.1666666667, 9.66666666667, 3.6, 1.0, 3.0, 4.0, 3.0, 1
15.0, 18.8, 48.8, 43.2, 32.3333333333, 11.3333333333, 78.4, 12.65, 11.25, 17.05, 14.5, 14.875, 20.9166666667, 3.3, 14.8, 14.44, 14.96, 15.08, 13.1333333333, 5.46666666666, 1.96, 78.0, 65.0, 68.2, 76.8, 64.0, 25.3333333333, 9.0, 1.0, 4.0, 5.0, 1.0, 23.8, 32.4, 58.2, 49.2, 43.0, 10.3333333333, 90.8, 18.65, 20.35, 20.8, 20.15, 19.5416666667, 20.8333333333, 2.5, 16.28, 15.28, 16.24, 16.6, 15.0333333333, 5.73333333334, 2.04, 81.8, 73.0, 79.2, 79.2, 72.5, 38.6666666667, 10.4, 1.0, 4.0, 5.0, 1.0, 0
