@relation training
@attribute 'Team 1: Goalkeeper: Attacking' numeric
@attribute 'Team 1: Goalkeeper: Skill' numeric
@attribute 'Team 1: Goalkeeper: Movement' numeric
@attribute 'Team 1: Goalkeeper: Power' numeric
@attribute 'Team 1: Goalkeeper: Mentality' numeric
@attribute 'Team 1: Goalkeeper: Defending' numeric
@attribute 'Team 1: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 1: Defender: Attacking' numeric
@attribute 'Team 1: Defender: Skill' numeric
@attribute 'Team 1: Defender: Movement' numeric
@attribute 'Team 1: Defender: Power' numeric
@attribute 'Team 1: Defender: Mentality' numeric
@attribute 'Team 1: Defender: Defending' numeric
@attribute 'Team 1: Defender: Goalkeeping' numeric
@attribute 'Team 1: Midfielder: Attacking' numeric
@attribute 'Team 1: Midfielder: Skill' numeric
@attribute 'Team 1: Midfielder: Movement' numeric
@attribute 'Team 1: Midfielder: Power' numeric
@attribute 'Team 1: Midfielder: Mentality' numeric
@attribute 'Team 1: Midfielder: Defending' numeric
@attribute 'Team 1: Midfielder: Goalkeeping' numeric
@attribute 'Team 1: Forward: Attacking' numeric
@attribute 'Team 1: Forward: Skill' numeric
@attribute 'Team 1: Forward: Movement' numeric
@attribute 'Team 1: Forward: Power' numeric
@attribute 'Team 1: Forward: Mentality' numeric
@attribute 'Team 1: Forward: Defending' numeric
@attribute 'Team 1: Forward: Goalkeeping' numeric
@attribute 'Team 1: Number of Goalkeepers' numeric
@attribute 'Team 1: Number of Defenders' numeric
@attribute 'Team 1: Number of Midfielders' numeric
@attribute 'Team 1: Number of Strikers' numeric
@attribute 'Team 2: Goalkeeper: Attacking' numeric
@attribute 'Team 2: Goalkeeper: Skill' numeric
@attribute 'Team 2: Goalkeeper: Movement' numeric
@attribute 'Team 2: Goalkeeper: Power' numeric
@attribute 'Team 2: Goalkeeper: Mentality' numeric
@attribute 'Team 2: Goalkeeper: Defending' numeric
@attribute 'Team 2: Goalkeeper: Goalkeeping' numeric
@attribute 'Team 2: Defender: Attacking' numeric
@attribute 'Team 2: Defender: Skill' numeric
@attribute 'Team 2: Defender: Movement' numeric
@attribute 'Team 2: Defender: Power' numeric
@attribute 'Team 2: Defender: Mentality' numeric
@attribute 'Team 2: Defender: Defending' numeric
@attribute 'Team 2: Defender: Goalkeeping' numeric
@attribute 'Team 2: Midfielder: Attacking' numeric
@attribute 'Team 2: Midfielder: Skill' numeric
@attribute 'Team 2: Midfielder: Movement' numeric
@attribute 'Team 2: Midfielder: Power' numeric
@attribute 'Team 2: Midfielder: Mentality' numeric
@attribute 'Team 2: Midfielder: Defending' numeric
@attribute 'Team 2: Midfielder: Goalkeeping' numeric
@attribute 'Team 2: Forward: Attacking' numeric
@attribute 'Team 2: Forward: Skill' numeric
@attribute 'Team 2: Forward: Movement' numeric
@attribute 'Team 2: Forward: Power' numeric
@attribute 'Team 2: Forward: Mentality' numeric
@attribute 'Team 2: Forward: Defending' numeric
@attribute 'Team 2: Forward: Goalkeeping' numeric
@attribute 'Team 2: Number of Goalkeepers' numeric
@attribute 'Team 2: Number of Defenders' numeric
@attribute 'Team 2: Number of Midfielders' numeric
@attribute 'Team 2: Number of Strikers' numeric
@attribute 'Outcome' {0, 1, 2}
@data
15.2, 16.2, 56.2, 45.8, 27.2, 12.0, 79.0, 10.24, 9.92, 15.88, 13.8, 11.3, 14.6666666667, 2.04, 16.6, 16.25, 16.85, 19.1, 18.0, 19.9166666667, 3.05, 61.2, 55.0, 53.8, 61.4, 61.4, 19.3333333333, 9.0, 1.0, 5.0, 4.0, 1.0, 66.2, 73.8, 69.2, 70.6, 69.2, 47.6666666667, 13.0, 12.04, 11.64, 13.8, 15.04, 12.36, 3.13333333334, 2.12, 13.95, 13.5, 14.85, 15.7, 12.2, 4.41666666667, 2.7, 50.4, 47.8, 64.8, 66.8, 56.4, 75.0, 8.4, 1.0, 5.0, 4.0, 1.0, 1
12.4, 20.0, 49.6, 41.2, 24.8, 14.0, 76.6, 14.45, 13.15, 13.9, 16.55, 15.0, 19.9166666667, 3.05, 13.24, 15.56, 14.64, 12.92, 12.7333333333, 7.93333333334, 2.24, 75.0, 78.4, 77.0, 73.6, 68.2, 24.6666666667, 10.0, 1.0, 4.0, 5.0, 1.0, 19.6, 20.0, 55.8, 43.2, 22.8, 12.3333333333, 70.8, 18.75, 19.55, 20.8, 17.1, 16.35, 4.91666666667, 3.1, 8.76, 8.84, 11.28, 12.96, 9.12, 10.8666666667, 1.76, 70.4, 71.2, 75.8, 70.4, 62.2, 18.6666666667, 12.0, 1.0, 4.0, 5.0, 1.0, 2
17.2, 28.8, 64.0, 47.6, 32.8, 16.0, 83.2, 22.7333333333, 22.5333333333, 24.1333333333, 26.5333333333, 22.6, 27.1111111111, 4.4, 15.56, 16.16, 15.8, 14.96, 15.2, 12.4666666667, 2.08, 41.7, 45.0, 46.4, 37.0, 32.4, 9.5, 5.4, 1.0, 3.0, 5.0, 2.0, 19.0, 18.6, 55.2, 44.0, 26.4, 14.3333333333, 78.4, 20.9333333333, 21.7333333333, 23.8666666667, 21.4666666667, 21.8666666667, 25.8888888889, 4.26666666667, 12.6, 14.2, 15.24, 13.88, 11.8, 7.0, 2.04, 35.8, 34.8, 41.4, 37.1, 32.3, 6.16666666665, 5.7, 1.0, 3.0, 5.0, 2.0, 2
16.4, 18.2, 68.2, 41.0, 24.4, 11.6666666667, 78.2, 29.0, 31.7, 34.2, 33.8, 31.7, 35.8333333333, 4.8, 9.2, 12.0, 12.9, 9.96666666667, 8.63333333333, 4.66666666667, 1.96666666667, 27.5, 26.1, 37.4, 34.1, 23.8, 11.6666666667, 4.8, 1.0, 2.0, 6.0, 2.0, 22.4, 22.6, 61.6, 46.4, 23.0, 13.6666666667, 81.4, 28.2, 30.7, 32.1, 33.6, 30.4, 40.8333333333, 4.6, 10.9666666667, 12.0666666667, 13.7, 11.7666666667, 9.16666666667, 2.94444444445, 1.83333333333, 37.2, 36.3, 40.3, 36.7, 31.5, 9.66666666665, 5.9, 1.0, 2.0, 6.0, 2.0, 1
16.0, 18.6, 59.6, 38.4, 26.0, 13.3333333333, 77.6, 18.5333333333, 19.5333333333, 22.0, 23.7333333333, 21.6, 25.3333333333, 3.73333333333, 14.15, 15.05, 18.85, 17.0, 17.3, 17.1666666667, 2.75, 25.8666666667, 25.8, 27.4666666667, 24.4666666667, 22.2, 8.33333333333, 2.8, 1.0, 3.0, 4.0, 3.0, 26.0, 27.0, 42.4, 43.6, 26.2, 25.0, 70.2, 17.2, 20.3333333333, 23.1333333333, 19.9333333333, 16.0666666667, 7.8888888889, 3.26666666667, 18.55, 18.1, 21.1, 16.6, 15.95, 9.08333333332, 2.45, 24.8666666667, 23.2666666667, 25.8, 23.4666666667, 18.2666666667, 6.66666666667, 3.06666666667, 1.0, 3.0, 4.0, 3.0, 2
8.4, 9.2, 30.6, 23.1, 14.2, 6.0, 38.4, 15.7, 17.2, 18.8, 16.35, 16.6, 18.5, 2.15, 21.8, 23.8666666667, 21.0666666667, 19.0666666667, 16.4666666667, 8.1111111111, 3.06666666667, 34.3, 34.8, 33.9, 32.4, 30.4, 12.1666666667, 6.5, 2.0, 4.0, 3.0, 2.0, 31.4, 33.6, 37.4, 35.4, 32.0, 40.1666666667, 4.9, 16.55, 17.85, 20.8, 18.9, 17.9, 18.8333333333, 2.55, 17.0, 17.1333333333, 22.4, 23.2666666667, 19.4666666667, 26.6666666667, 3.33333333333, 38.7, 31.5, 34.3, 40.5, 34.4, 23.6666666666, 5.7, 2.0, 4.0, 3.0, 2.0, 2
17.4, 18.4, 57.0, 44.2, 26.4, 15.3333333333, 78.0, 17.2, 17.4, 23.8666666667, 19.0, 17.9333333333, 24.0, 3.86666666667, 10.1333333333, 10.7, 11.7333333333, 8.7, 9.0, 3.77777777778, 2.3, 62.2, 64.8, 67.6, 65.0, 50.8, 32.3333333333, 10.0, 1.0, 3.0, 6.0, 1.0, 20.8, 21.2, 50.8, 45.6, 30.4, 12.6666666667, 81.2, 23.5333333333, 26.1333333333, 27.2666666667, 25.4, 24.3333333333, 27.5555555556, 2.4, 12.2, 11.2666666667, 12.9333333333, 12.8, 10.2, 2.72222222222, 1.43333333333, 80.2, 84.8, 82.4, 82.2, 74.4, 62.3333333333, 10.4, 1.0, 3.0, 6.0, 1.0, 0
16.2, 16.2, 59.6, 45.8, 28.0, 14.6666666667, 80.6, 18.1333333333, 21.4666666667, 20.4666666667, 19.6666666667, 21.6666666667, 23.7777777778, 2.93333333333, 11.6666666667, 13.2666666667, 13.8333333333, 12.0, 9.96666666667, 4.66666666667, 1.63333333333, 75.0, 74.0, 81.0, 73.2, 68.4, 31.6666666667, 7.6, 1.0, 3.0, 6.0, 1.0, 58.0, 63.8, 67.2, 64.0, 61.2, 60.3333333333, 7.8, 20.4666666667, 21.4666666667, 21.2, 24.4, 23.2666666667, 24.3333333333, 4.06666666667, 11.0333333333, 10.1666666667, 10.2333333333, 11.6, 10.6111111111, 4.16666666667, 2.0, 65.8, 59.6, 67.2, 75.0, 71.4, 49.6666666667, 10.0, 1.0, 3.0, 6.0, 1.0, 1
16.8, 18.4, 61.2, 46.2, 28.4, 12.0, 76.8, 12.85, 13.55, 18.15, 18.85, 14.1, 19.5833333333, 3.25, 24.6666666667, 25.8, 25.6, 25.4, 23.4666666667, 23.1111111111, 3.73333333333, 23.6666666667, 26.0666666667, 27.6, 21.2, 20.6, 8.8888888889, 4.33333333333, 1.0, 4.0, 3.0, 3.0, 16.4, 19.0, 55.0, 41.6, 23.8, 17.3333333333, 70.4, 13.7, 15.25, 17.25, 19.3, 13.45, 17.75, 2.75, 19.7333333333, 21.6, 25.0666666667, 22.4, 21.5333333333, 22.4444444444, 3.53333333333, 21.7333333333, 19.8, 23.6, 23.8, 21.0666666667, 6.33333333333, 3.73333333333, 1.0, 4.0, 3.0, 3.0, 0
18.2, 19.4, 64.0, 48.2, 30.8, 17.6666666667, 79.0, 11.76, 11.04, 13.68, 15.28, 13.0, 16.8, 2.0, 19.1333333333, 23.1333333333, 23.0, 21.3333333333, 21.8666666667, 23.2222222222, 4.13333333333, 34.8, 31.3, 36.7, 32.0, 32.0, 14.5, 5.4, 1.0, 5.0, 3.0, 2.0, 21.8, 18.2, 63.2, 46.6, 25.6, 12.0, 75.2, 15.36, 15.44, 14.76, 15.8, 14.52, 13.3333333333, 2.16, 19.2, 20.2666666667, 24.8666666667, 22.1333333333, 19.4666666667, 22.3333333333, 3.53333333333, 31.4, 38.8, 39.5, 32.8, 30.6, 7.33333333335, 6.4, 1.0, 5.0, 3.0, 2.0, 0
