2013-8-17	1	0	simon mignolet	glen johnson	 jose enrique	kolo toure	daniel agger	steven gerrard	 coutinho	jordan henderson	 lucas leiva	 iago aspas	daniel sturridge	raheem sterling	brad jones	andre wisdom	 luis alberto	joe allen	fabio borini	jordon ibe	asmir begovic	erik pieters	robert huth	ryan shawcross	geoff cameron	glenn whelan	wilson palacios	steven n zonzi	matthew etherington	jon walters	peter crouch	jermaine pennant	charlie adam	kenwyne jones	thomas sorensen	 muniesa	marc wilson	cameron jerome
2013-8-17	1	3	wojciech szczesny	bacary sagna	per mertesacker	laurent koscielny	kieran gibbs	tomas rosicky	jack wilshere	aaron ramsey	olivier giroud	theo walcott	alex oxlade chamberlain	carl jenkinson	 santi cazorla	lukas podolski	lukasz fabianski	emmanuel frimpong	yaya sanogo	serge gnabry	brad guzan	nathan baker	ron vlaar	 antonio luna	matthew lowton	karim el ahmadi	ashley westwood	fabian delph	andreas weimann	gabriel agbonlahor	christian benteke	ciaran clark	leandro bacuna	jed steer	jores okore	aleksandar tonev	nicklas helenius	jordan bowery
2013-8-17	2	2	john ruddy	russell martin	steven whittaker	michael turner	 javi garrido	bradley johnson	jonny howson	wes hoolahan	elliott bennett	nathan redmond	ricky van wolfswinkel	alexander tettey	mark bunn	martin olsson	ryan bennett	jacob butterfield	david fox	luciano becchio	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	ross barkley	leon osman	steven pienaar	marouane fellaini	nikica jelavic	kevin mirallas	arouna kone	steven naismith	 joel	john heitinga	john stones	 gerard deulofeu	victor anichebe
2013-8-17	0	1	keiren westwood	ondrej celustka	john o shea	valentin roberge	 cabral	sebastian larsson	adam johnson	jack colback	emanuele giaccherini	stephane sessegnon	jozy altidore	connor wickham	dong won ji	modibo diakite	 cuellar	el hadji ba	mikael mandron	david moberg karlsson	maarten stekelenburg	brede hangeland	aaron hughes	sascha riether	steven sidwell	pajtim kasami	kieran richardson	damien duff	adel taarabt	derek boateng	dimitar berbatov	david stockdale	matthew briggs	giorgios karagounis	philippe senderos	bryan ruiz	hugo rodallega	darren bent
2013-8-17	0	1	ben foster	jonas olsson	liam ridgewell	gareth mcauley	billy jones	claudio yacob	james morrison	graham dorrans	youssuf mulumbu	shane long	nicolas anelka	markus rosenberg	matej vydra	boaz myhill	goran popov	craig dawson	chris brunt	saido berahino	artur boruc	dejan lovren	 jose fonte	calum chambers	luke shaw	morgan schneiderlin	victor wanyama	james ward prowse	adam lallana	rickie lambert	jay rodriguez	steven davis	gaston ramirez	jack cork	kelvin davis	nathaniel clyne	jos hooiveld	emmanuel mayuka
2013-8-17	2	0	jussi jaaskelainen	winston reid	james collins	guy demel	kevin nolan	matthew jarvis	mark noble	joey o brien	momo diame	joe cole	modibo maiga	alou diarra	stewart downing	 ricardo vaz te	 adrian	james tomkins	razvan rat	ravel morrison	david marshall	matthew connolly	steven caulker	ben turner	peter whittingham	gary medel	bo kyung kim	aron gunnarsson	declan john	frazier campbell	craig bellamy	jordon mutch	rudy gestede	nicky maynard	joe lewis	mark hudson	don cowie	tommy smith
2013-8-17	1	4	michel vorm	 chico	ashley williams	 angel rangel	ben davies	leon britton	jonjo shelvey	nathan dyer	wayne routledge	 canas	 michu	 pablo hernandez	sung yueng ki	wilfried bony	gerhard tremmel	 jordi amat	neil taylor	 pozuelo	 de gea	patrice evra	phil jones	rio ferdinand	nemanja vidic	ryan giggs	michael carrick	tom cleverley	antonio valencia	danny welbeck	robin van persie	 anderson	wayne rooney	anders lindegaard	chris smalling	 fabio	shinji kagawa	wilfried zaha
2013-8-18	0	1	julian speroni	joel ward	daniel gabbidon	dean moxey	damien delaney	kagisho dikgacoi	owen garvan	mile jedinak	stephen dobbie	dwight gayle	aaron wilbraham	jonathan williams	kevin phillips	marouane chamakh	neil alexander	florian marange	 campana	stuart o keefe	hugo lloris	kyle walker	danny rose	jan vertonghen	michael dawson	aaron lennon	 paulinho	mousa dembele	gylfi sigurdsson	 soldado	nacer chadli	younes kaboul	etienne capoue	jermain defoe	brad friedel	kyle naughton	andros townsend	tom carroll
2013-8-18	2	0	petr cech	branislav ivanovic	ashley cole	gary cahill	john terry	 ramires	frank lampard	 oscar	kevin de bruyne	 fernando torres	eden hazard	marco van ginkel	andre schurrle	romelu lukaku	mark schwarzer	michael essien	 mata	demba ba	allan mcgregor	maynor figueroa	james chester	curtis davies	ahmed al muhammadi	david meyler	robert koren	robbie brady	sone aluko	danny graham	yannick sagbo	tom huddlestone	jake livermore	george boyd	steve harper	liam rosenior	alex bruce	paul mcshane
2013-8-19	4	0	joe hart	vincent kompany	pablo zabaleta	joleon lescott	gael clichy	 jesus navas	 david silva	 fernandinho	yaya toure	edin dzeko	kun aguero	samir nasri	 javi garcia	 alvaro negredo	costel pantilimon	aleksandar kolarov	james milner	jack rodwell	tim krul	fabricio coloccini	mapou yanga mbiwa	mathieu debuchy	steven taylor	moussa sissoko	hatem ben arfa	jonas gutierrez	cheick tiote	papiss demba cisse	yoan gouffran	paul dummett	vurnon anita	sammy ameobi	rob elliot	sylvain marveaux	shola ameobi	gabriel obertan
2013-8-24	1	3	david stockdale	john arne riise	brede hangeland	aaron hughes	sascha riether	steven sidwell	pajtim kasami	damien duff	adel taarabt	scott parker	dimitar berbatov	alexander kacaniklic	giorgios karagounis	darren bent	neil etheridge	matthew briggs	derek boateng	bryan ruiz	wojciech szczesny	bacary sagna	per mertesacker	carl jenkinson	kieran gibbs	tomas rosicky	aaron ramsey	 santi cazorla	lukas podolski	olivier giroud	theo walcott	 nacho monreal	jack wilshere	yaya sanogo	lukasz fabianski	emmanuel frimpong	gedion zelalem	serge gnabry
2013-8-24	0	0	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	ross barkley	leon osman	steven pienaar	marouane fellaini	nikica jelavic	kevin mirallas	arouna kone	steven naismith	 joel	john heitinga	john stones	 gerard deulofeu	victor anichebe	ben foster	jonas olsson	liam ridgewell	gareth mcauley	billy jones	claudio yacob	james morrison	graham dorrans	youssuf mulumbu	markus rosenberg	shane long	luke daniels	chris brunt	matej vydra	goran popov	diego lugano	scott sinclair	saido berahino
2013-8-24	1	0	allan mcgregor	maynor figueroa	james chester	curtis davies	ahmed al muhammadi	tom huddlestone	robert koren	robbie brady	jake livermore	sone aluko	yannick sagbo	liam rosenior	danny graham	george boyd	steve harper	alex bruce	paul mcshane	david meyler	john ruddy	russell martin	steven whittaker	michael turner	 javi garrido	bradley johnson	jonny howson	leroy fer	nathan redmond	alexander tettey	ricky van wolfswinkel	robert snodgrass	wes hoolahan	johan elmander	mark bunn	martin olsson	ryan bennett	luciano becchio
2013-8-24	0	0	tim krul	fabricio coloccini	davide santon	mapou yanga mbiwa	mathieu debuchy	moussa sissoko	vurnon anita	hatem ben arfa	sylvain marveaux	papiss demba cisse	shola ameobi	yoan gouffran	sammy ameobi	rob elliot	paul dummett	dan gosling	gael bigirimana	haris vuckic	jussi jaaskelainen	winston reid	james collins	guy demel	kevin nolan	matthew jarvis	mark noble	joey o brien	momo diame	stewart downing	modibo maiga	ravel morrison	joe cole	 adrian	james tomkins	razvan rat	alou diarra	 ricardo vaz te
2013-8-24	1	1	artur boruc	dejan lovren	 jose fonte	calum chambers	luke shaw	morgan schneiderlin	victor wanyama	james ward prowse	adam lallana	rickie lambert	jay rodriguez	nathaniel clyne	gaston ramirez	pablo osvaldo	kelvin davis	jos hooiveld	steven davis	jack cork	keiren westwood	ondrej celustka	john o shea	modibo diakite	sebastian larsson	craig gardner	adam johnson	jack colback	emanuele giaccherini	stephane sessegnon	jozy altidore	david vaughan	connor wickham	dong won ji	vito mannone	valentin roberge	 cabral	david moberg karlsson
2013-8-24	2	1	asmir begovic	erik pieters	robert huth	marc wilson	ryan shawcross	geoff cameron	steven n zonzi	charlie adam	matthew etherington	jon walters	peter crouch	glenn whelan	jermaine pennant	cameron jerome	thomas sorensen	 muniesa	andy wilkinson	kenwyne jones	julian speroni	joel ward	daniel gabbidon	dean moxey	damien delaney	 campana	kagisho dikgacoi	mile jedinak	jason puncheon	dwight gayle	marouane chamakh	owen garvan	jonathan williams	kevin phillips	neil alexander	peter ramage	stephen dobbie	aaron wilbraham
2013-8-24	0	1	brad guzan	ron vlaar	jores okore	leandro bacuna	 antonio luna	matthew lowton	ashley westwood	fabian delph	andreas weimann	gabriel agbonlahor	christian benteke	karim el ahmadi	aleksandar tonev	nicklas helenius	jed steer	ciaran clark	chris herd	yacouba sylla	simon mignolet	glen johnson	 jose enrique	kolo toure	daniel agger	steven gerrard	 coutinho	jordan henderson	 lucas leiva	 iago aspas	daniel sturridge	aly cissokho	joe allen	brad jones	andre wisdom	 luis alberto	raheem sterling	fabio borini
2013-8-25	3	2	david marshall	matthew connolly	andrew taylor	steven caulker	ben turner	peter whittingham	gary medel	bo kyung kim	aron gunnarsson	frazier campbell	craig bellamy	jordon mutch	don cowie	andreas cornelius	joe lewis	mark hudson	craig noone	nicky maynard	joe hart	pablo zabaleta	joleon lescott	gael clichy	 javi garcia	 jesus navas	 david silva	 fernandinho	yaya toure	edin dzeko	kun aguero	james milner	samir nasri	 alvaro negredo	costel pantilimon	aleksandar kolarov	matija nastasic	jack rodwell
2013-8-25	1	0	hugo lloris	kyle walker	danny rose	jan vertonghen	michael dawson	 paulinho	etienne capoue	andros townsend	mousa dembele	 soldado	nacer chadli	gylfi sigurdsson	 sandro	jermain defoe	brad friedel	younes kaboul	kyle naughton	tom carroll	michel vorm	 chico	ashley williams	 angel rangel	ben davies	jonjo shelvey	 pablo hernandez	wayne routledge	jonathan de guzman	 canas	 michu	 pozuelo	wilfried bony	gerhard tremmel	 jordi amat	leon britton	roland lamah	jazz richards
2013-8-26	0	0	 de gea	patrice evra	phil jones	rio ferdinand	nemanja vidic	michael carrick	tom cleverley	antonio valencia	wayne rooney	danny welbeck	robin van persie	ryan giggs	ashley young	anders lindegaard	chris smalling	alexander buttner	 anderson	shinji kagawa	petr cech	branislav ivanovic	ashley cole	gary cahill	john terry	 ramires	frank lampard	 oscar	kevin de bruyne	andre schurrle	eden hazard	 azpilicueta	john mikel	 fernando torres	mark schwarzer	michael essien	 mata	romelu lukaku
2013-8-21	2	1	petr cech	branislav ivanovic	ashley cole	gary cahill	john terry	 ramires	frank lampard	 mata	 oscar	eden hazard	demba ba	marco van ginkel	andre schurrle	romelu lukaku	mark schwarzer	 azpilicueta	john mikel	kevin de bruyne	brad guzan	ron vlaar	ciaran clark	 antonio luna	matthew lowton	karim el ahmadi	ashley westwood	fabian delph	andreas weimann	gabriel agbonlahor	christian benteke	jores okore	aleksandar tonev	jed steer	joe bennett	leandro bacuna	yacouba sylla	nicklas helenius
2013-8-31	2	0	joe hart	pablo zabaleta	joleon lescott	aleksandar kolarov	matija nastasic	 jesus navas	 david silva	 fernandinho	yaya toure	edin dzeko	kun aguero	james milner	samir nasri	 alvaro negredo	costel pantilimon	gael clichy	 javi garcia	stevan jovetic	allan mcgregor	maynor figueroa	james chester	curtis davies	ahmed al muhammadi	tom huddlestone	robert koren	robbie brady	jake livermore	sone aluko	danny graham	stephen quinn	george boyd	steve harper	liam rosenior	alex bruce	paul mcshane	david meyler
2013-8-31	0	0	david marshall	matthew connolly	andrew taylor	steven caulker	ben turner	peter whittingham	gary medel	bo kyung kim	aron gunnarsson	frazier campbell	craig bellamy	jordon mutch	don cowie	nicky maynard	joe lewis	mark hudson	craig noone	rudy gestede	tim howard	leighton baines	phil jagielka	sylvain distin	seamus coleman	ross barkley	leon osman	steven pienaar	marouane fellaini	nikica jelavic	kevin mirallas	arouna kone	 gerard deulofeu	 joel	john heitinga	bryan oviedo	john stones	steven naismith
2013-8-31	1	0	tim krul	fabricio coloccini	davide santon	mapou yanga mbiwa	mathieu debuchy	moussa sissoko	vurnon anita	hatem ben arfa	sylvain marveaux	papiss demba cisse	shola ameobi	yohan cabaye	yoan gouffran	loic remy	rob elliot	paul dummett	dan gosling	sammy ameobi	david stockdale	john arne riise	brede hangeland	aaron hughes	sascha riether	steven sidwell	alexander kacaniklic	scott parker	dimitar berbatov	bryan ruiz	darren bent	matthew briggs	adel taarabt	hugo rodallega	neil etheridge	giorgios karagounis	damien duff	derek boateng
2013-8-31	1	0	john ruddy	steven whittaker	sebastien bassong	michael turner	 javi garrido	bradley johnson	robert snodgrass	leroy fer	nathan redmond	ricky van wolfswinkel	johan elmander	jonny howson	mark bunn	russell martin	anthony pilkington	wes hoolahan	alexander tettey	luciano becchio	artur boruc	dejan lovren	 jose fonte	danny fox	calum chambers	morgan schneiderlin	victor wanyama	james ward prowse	adam lallana	rickie lambert	pablo osvaldo	steven davis	gaston ramirez	jay rodriguez	kelvin davis	nathaniel clyne	maya yoshida	luke shaw
2013-8-31	0	1	jussi jaaskelainen	winston reid	james collins	guy demel	kevin nolan	matthew jarvis	mark noble	joey o brien	momo diame	stewart downing	modibo maiga	jack collison	ravel morrison	elliot lee	 adrian	james tomkins	razvan rat	matthew taylor	asmir begovic	erik pieters	robert huth	marc wilson	ryan shawcross	geoff cameron	steven n zonzi	charlie adam	matthew etherington	kenwyne jones	jon walters	glenn whelan	jermaine pennant	thomas sorensen	 muniesa	oussama assaidi	peter crouch	cameron jerome
