2014-8-16	1	2	 de gea	phil jones	chris smalling	tyler blackett	 mata	ashley young	 ander herrera	darren fletcher	jesse lingard	wayne rooney	javier hernandez	adnan januzaj	marouane fellaini	 nani	ben amos	reece james	michael carrick	shinji kagawa	lukasz fabianski	 jordi amat	neil taylor	ashley williams	 angel rangel	sung yueng ki	jonjo shelvey	nathan dyer	wayne routledge	gylfi sigurdsson	wilfried bony	dwight tiendalli	jefferson montero	bafetimbi gomis	gerhard tremmel	kyle bartley	jazz richards	josh sheehan
2014-8-16	2	2	kasper schmeichel	ritchie de laet	paul konchesky	wes morgan	liam moore	danny drinkwater	andy king	riyad mahrez	leonardo ulloa	anthony knockaert	david nugent	jeffrey schlupp	dean hammond	chris wood	ben hamer	marcin wasilewski	gary taylor fletcher	tom hopper	tim howard	leighton baines	phil jagielka	sylvain distin	john stones	aiden mcgeady	james mccarthy	gareth barry	steven pienaar	romelu lukaku	steven naismith	seamus coleman	kevin mirallas	 joel	antolin alcaraz	muhamed besic	christian atsu	leon osman
2014-8-16	0	1	robert green	danny simpson	armand traore	steven caulker	rio ferdinand	richard dunne	jordon mutch	joey barton	alejandro faurlin	charlie austin	loic remy	matt phillips	junior hoilett	bobby zamora	brian murphy	clint hill	nedum onuoha	karl henry	allan mcgregor	alex bruce	james chester	curtis davies	andrew robertson	ahmed al muhammadi	tom huddlestone	robert snodgrass	jake livermore	thomas ince	nikica jelavic	paul mcshane	david meyler	stephen quinn	steve harper	maynor figueroa	robbie brady	sone aluko
2014-8-16	0	1	asmir begovic	phil bardsley	erik pieters	marc wilson	ryan shawcross	glenn whelan	stephen ireland	steven n zonzi	marko arnautovic	mame diouf	 bojan	charlie adam	peter crouch	thomas sorensen	robert huth	 muniesa	steven sidwell	jon walters	brad guzan	ron vlaar	philippe senderos	alan hutton	aly cissokho	ashley westwood	fabian delph	kieran richardson	charles n zogbia	andreas weimann	gabriel agbonlahor	leandro bacuna	jack grealish	shay given	nathan baker	ciaran clark	karim el ahmadi	darren bent
2014-8-16	2	2	ben foster	andre wisdom	jonas olsson	sebastien pocognoli	craig dawson	craig gardner	chris brunt	graham dorrans	youssuf mulumbu	victor anichebe	saido berahino	chris baird	claudio yacob	stephane sessegnon	boaz myhill	jason davidson	liam o neil	brown ideye	vito mannone	patrick van aanholt	wes brown	john o shea	valentin roberge	lee cattermole	sebastian larsson	jack rodwell	adam johnson	steven fletcher	connor wickham	 jordi gomez	jozy altidore	will buckley	costel pantilimon	liam bridcutt	charis mavrias	danny graham
2014-8-16	0	1	 adrian	winston reid	aaron cresswell	james collins	kevin nolan	cheikhou kouyate	stewart downing	mark noble	joey o brien	 ricardo vaz te	carlton cole	guy demel	momo diame	enner valencia	jussi jaaskelainen	reece burke	diego poyet	mauro zarate	hugo lloris	danny rose	younes kaboul	eric dier	kyle naughton	aaron lennon	erik lamela	christian eriksen	etienne capoue	nabil bentaleb	emmanuel adebayor	lewis holtby	andros townsend	harry kane	brad friedel	michael dawson	ben davies	 soldado
2014-8-16	2	1	wojciech szczesny	mathieu debuchy	kieran gibbs	laurent koscielny	calum chambers	 mikel arteta	jack wilshere	aaron ramsey	 santi cazorla	alexis sanchez	yaya sanogo	 nacho monreal	olivier giroud	alex oxlade chamberlain	emiliano martinez	tomas rosicky	francis coquelin	joel campbell	julian speroni	joel ward	brede hangeland	scott dann	martin kelly	yannick bolasie	mile jedinak	joe ledley	jason puncheon	frazier campbell	marouane chamakh	damien delaney	stuart o keefe	dwight gayle	wayne hennessey	paddy mccarthy	barry bannan	glenn murray
2014-8-17	2	1	simon mignolet	glen johnson	dejan lovren	 manquillo	martin skrtel	steven gerrard	 coutinho	jordan henderson	 lucas leiva	raheem sterling	daniel sturridge	joe allen	rickie lambert	brad jones	kolo toure	mamadou sakho	emre can	jordon ibe	fraser forster	nathaniel clyne	maya yoshida	 jose fonte	ryan bertrand	morgan schneiderlin	steven davis	victor wanyama	james ward prowse	dusan tadic	graziano pelle	lloyd isgrove	shane long	kelvin davis	jos hooiveld	jack stephens	saphir taider	jack cork
2014-8-17	0	2	tim krul	fabricio coloccini	mike williamson	daryl janmaat	paul dummett	moussa sissoko	vurnon anita	jack colback	remy cabella	yoan gouffran	emmanuel riviere	rolando aarons	 ayoze perez	gabriel obertan	rob elliot	massadio haidara	steven taylor	mehdi abeid	joe hart	vincent kompany	aleksandar kolarov	gael clichy	martin demichelis	 fernando	samir nasri	 david silva	yaya toure	edin dzeko	stevan jovetic	james milner	 fernandinho	kun aguero	willy caballero	pablo zabaleta	dedryck boyata	 jesus navas
2014-8-18	1	3	tom heaton	kieran trippier	michael duff	jason shackell	ben mee	dean marney	david jones	matthew taylor	scott arfield	danny ings	lukas jutkiewicz	michael kightly	marvin sordell	ashley barnes	matt gilks	kevin long	cameron dummigan	ross wallace	thibaut courtois	branislav ivanovic	gary cahill	john terry	 azpilicueta	 cesc fabregas	 oscar	nemanja matic	eden hazard	andre schurrle	 diego costa	john mikel	 willian	didier drogba	petr cech	 filipe luis	kurt zouma	 fernando torres
2014-8-23	0	0	brad guzan	ron vlaar	philippe senderos	alan hutton	aly cissokho	ashley westwood	fabian delph	kieran richardson	charles n zogbia	andreas weimann	gabriel agbonlahor	nathan baker	carlos sanchez	darren bent	shay given	leandro bacuna	joe cole	jack grealish	tim krul	fabricio coloccini	mike williamson	daryl janmaat	paul dummett	moussa sissoko	vurnon anita	jack colback	remy cabella	yoan gouffran	emmanuel riviere	steven taylor	siem de jong	 ayoze perez	rob elliot	massadio haidara	mehdi abeid	gabriel obertan
